N_MODEL,HIDDEN_SIZE,N_LAYERS,DIRECTIONS,RECALL,PRECISION,F1,RECALL_WO_O,PRECISION_WO_O,F1_WO_O
model_1,500,1,1,0.8239718549071939,0.7850956647544963,0.7699764378509338,0.16348448687350836,0.595837549730122,0.23687252148722335
model_2,500,2,1,0.8308868130535,0.8007995450540384,0.791145660008128,0.25596658711217185,0.5880837527720899,0.3166050217644361
model_3,500,3,1,0.8268834162319544,0.7597027608318518,0.7737994860621478,0.17780429594272076,0.4596364676244922,0.24900079997417823
model_4,500,1,2,0.8570908649763436,0.8428313262139038,0.8270282760747972,0.35262529832935563,0.7412358466503817,0.44862094773432193
model_5,500,2,2,0.8754094383112945,0.8663050903145114,0.8556797651621344,0.4498806682577566,0.7760184155233298,0.5476741116127466
model_6,500,3,2,0.8953051073638238,0.8929151866531267,0.8933542644414236,0.6479713603818615,0.7129602050295083,0.677144276894412
model_7,800,1,2,0.8671600145578067,0.8566774751022477,0.8436540776146585,0.39498806682577564,0.7739480222230917,0.507316263668453
model_8,800,2,2,0.8735897124833192,0.8903361152207439,0.8699506308429938,0.5566825775656324,0.7436686949616413,0.5918382227580901
model_9,800,3,2,0.9025840106757249,0.8974230537726801,0.8922356668080378,0.5668257756563246,0.8346596769664946,0.6683074757814524
