N_MODEL,HIDDEN_SIZE,N_LAYERS,DIRECTIONS,RECALL,PRECISION,F1,RECALL_WO_O,PRECISION_WO_O,F1_WO_O
model_1,500,1,1,0.8369525658134175,0.7922734066605026,0.7963415298762289,0.23210023866348448,0.5438369523341212,0.3176205964550381
model_2,500,2,1,0.8384083464757977,0.7946589892378813,0.7927949792793939,0.22374701670644392,0.5654670031559008,0.2992638575972685
model_3,500,3,1,0.8494480164988475,0.8056276892346269,0.8106984569926989,0.2798329355608592,0.551040238672801,0.3488218815761064
model_4,500,1,2,0.8756520684216911,0.8522310689648567,0.8522780315064075,0.4182577565632458,0.6906302885831819,0.5072434490565605
model_5,500,2,2,0.8904525051558898,0.8763433529582141,0.8775621062274027,0.49403341288782815,0.7097305090807731,0.5786085662803265
model_6,500,3,2,0.8825670265679971,0.8727800358653047,0.8610816636417608,0.4373508353221957,0.751565021555325,0.5216734264575172
model_7,800,1,2,0.8889967244935096,0.8690692354961367,0.873445386078649,0.49761336515513127,0.676799669628459,0.5648668073145622
model_8,800,2,2,0.893970641756642,0.8836214312317907,0.8809000080774978,0.5077565632458234,0.7563903884809711,0.5992373323793746
model_9,800,3,2,0.8877835739415262,0.8749493033269631,0.8719618481926329,0.46539379474940334,0.7467123545095329,0.5677532812657092
